"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.703177,-0.0043812806,0,-37.790572,-3.4577109e-05,0
0.5,0,26.704332,-0.0049795751,0,-37.7998,-3.4601957e-05,0
0.5,0,26.701415,-0.0038308057,0,-37.781343,-3.4496238e-05,0
0.5,0,26.700609,-0.0036044475,0,-37.772115,-3.4405874e-05,0
0.5,0,26.700367,-0.0032953116,0,-37.762886,-3.4317097e-05,0
0.5,0,26.700155,-0.0033255033,0,-37.753658,-3.4133096e-05,0
0.5,0,26.699837,-0.0032077329,0,-37.744429,-3.3831631e-05,0
0.5,0,26.699684,-0.0028991241,0,-37.735201,-3.3486812e-05,0
0.5,0,26.699751,-0.0029538313,0,-37.725972,-3.3120286e-05,0
0.5,0,26.699966,-0.0032665408,0,-37.716744,-3.2714055e-05,0
0.5,0,26.700401,-0.0032861169,0,-37.707515,-3.2311925e-05,0
0.5,0,26.701102,-0.003028356,0,-37.698287,-3.1974029e-05,0
0.5,0,26.701805,-0.0028660065,0,-37.689058,-3.1702956e-05,0
0.5,0,26.702106,-0.0029161201,0,-37.67983,-3.1468122e-05,0
0.5,0,26.701891,-0.0030464401,0,-37.670601,-3.1247461e-05,0
0.5,0,26.701503,-0.0031167347,0,-37.661373,-3.1020921e-05,0
0.5,0,26.701431,-0.0030882007,0,-37.652145,-3.0754811e-05,0
0.5,0,26.701955,-0.0030039895,0,-37.642916,-3.0418773e-05,0
0.5,0,26.70289,-0.0028855551,0,-37.633688,-3.0016556e-05,0
0.5,0,26.703766,-0.0027052093,0,-37.624459,-2.9588433e-05,0
0.5,0,26.704417,-0.0024792392,0,-37.615231,-2.9180348e-05,0
0.5,0,26.704772,-0.0023206532,0,-37.606002,-2.8815765e-05,0
0.5,0,26.704433,-0.0023197079,0,-37.596774,-2.8491683e-05,0
0.5,0,26.703305,-0.0024084189,0,-37.587545,-2.8187078e-05,0
0.5,0,26.702074,-0.0024495582,0,-37.578317,-2.7876946e-05,0
0.5,0,26.701522,-0.0024272264,0,-37.569088,-2.7550053e-05,0
0.5,0,26.701692,-0.0024501705,0,-37.55986,-2.721325e-05,0
0.5,0,26.702123,-0.0026021645,0,-37.550631,-2.6880317e-05,0
0.5,0,26.702575,-0.0028332262,0,-37.541403,-2.6567678e-05,0
0.5,0,26.703097,-0.0029829076,0,-37.532174,-2.6283795e-05,0
0.5,0,26.703602,-0.0029856677,0,-37.522946,-2.600514e-05,0
0.5,0,26.70382,-0.0029555362,0,-37.513718,-2.5700999e-05,0
0.5,0,26.703446,-0.0030217819,0,-37.504489,-2.5381503e-05,0
0.5,0,26.702392,-0.0032175294,0,-37.495261,-2.5065632e-05,0
0.5,0,26.701132,-0.0034246465,0,-37.486032,-2.4739239e-05,0
0.5,0,26.70028,-0.0033719576,0,-37.476804,-2.4396824e-05,0
0.5,0,26.700067,-0.0029431264,0,-37.467575,-2.4070736e-05,0
0.5,0,26.700405,-0.0024223558,0,-37.458347,-2.3786232e-05,0
0.5,0,26.701048,-0.002176708,0,-37.449118,-2.3528147e-05,0
0.5,0,26.701773,-0.0023139958,0,-37.43989,-2.3266712e-05,0
0.5,0,26.702464,-0.002694743,0,-37.430661,-2.299265e-05,0
0.5,0,26.70319,-0.0030467689,0,-37.421433,-2.2711478e-05,0
0.5,0,26.703909,-0.0031675845,0,-37.412204,-2.2415177e-05,0
0.5,0,26.704335,-0.0030378491,0,-37.402976,-2.2090402e-05,0
0.5,0,26.704401,-0.0027669448,0,-37.393747,-2.1749338e-05,0
0.5,0,26.704211,-0.0025854001,0,-37.384519,-2.1408006e-05,0
